start	end	text
0	1380	HERE WITH HIS REACTION IS
1380	2400	STEPHEN MILLER, WHITE HOUSE
2400	3760	DEPUTY CHIEF OF STAFF FOR
3760	4720	POLICY.
4720	7360	STEPHEN, YOU HEARD TAMMY
7360	10100	DUCKWORTH'S GESTAPO COMMENT, HER
10100	11800	ZIP-TIE COMMENT, WHICH IS LIKE,
11800	13440	THIS REMINDS ME OF THE PATTER
13440	14800	AROUND JANUARY 6TH, IT'S THE
14800	16760	SAME THING, THE GALLOWS AND THE
16760	19320	ZIP-TIES, YOU KNOW, ALL OF THAT.
19320	21220	YOUR REACTION, LET'S JUST START
21220	22720	WITH HER COMMENT, THEN WE'LL BACK
22720	24240	INTO WHAT PRITZKER AND JOHNSON
24240	24740	SAID.
