start	end	text
0	5120	There is now no doubt this president will go down in history as a peacemaking president.
5520	9680	Whether the Democrats like it or not, President Trump, again, will join us in a few moments
9680	14660	with details and more on this massive development and this breaking news.
14860	16260	It's good for the entire world.
21880	22400	Yes!
24440	24920	Yes!
25200	25740	Thank you.
26620	27500	Thank you.
27600	28500	All right, all right, all right, all right.
28940	29520	Thank you.
30000	35480	All right, and on your way out, don't forget to help yourself to the bucket of crawdads.
38540	39960	Happy Wednesday, everyone.
39960	46800	So CNN's Caitlin Collins revealed staffers secretly dread traveling with President Trump
46800	48900	because he does not sleep.
49700	54320	Conversely, Biden's staffers dreaded traveling with Joe because he does not wipe.
54320	61700	It's day eight of the government shutdown.
61700	63100	It's getting scary.
63100	67060	They're already considering getting a backup generator for Mitch McConnell.
67060	76960	They say the shutdown could cost the economy approximately $15 billion a week.
77020	81880	To put that in perspective, that's $15 billion more than Kilmeade's book sales.
81880	94800	After receiving criticism for height-shaming, AOC now claims she actually loves short people.
94800	97760	In fact, she's hiding three of them in her ass.
103340	104680	It's a compliment.
104680	109220	KFC is once again offering its original honey barbecue flavor.
109220	113620	In a related story, guess who just bought four metric tons of napkins?
113620	116320	We'll see who just bought fourhoramoids you guys are choosing a canal of Australians.
