start	end	text
0	4480	The FBI has arrested almost 9,000 criminals in this year's crime sweep.
4960	9640	Illegal crossings along the border have plummeted to the lowest level since 1970.
10600	13580	Trump ran on keeping the borders and streets safe.
13700	16760	It's the reason he boosted his turnout with blacks.
17800	23700	For them to manipulate this now, to make it look like the troops are coming in to attack black people?
23940	24260	No.
24260	27620	They're coming in to do what we asked them to do.
27620	31120	And that is to get these illegals out of our communities.
32020	34520	Ribs is now going full tinfoil hat.
35160	39640	J.B. Beck says if they don't stop this N-word, he's going to steal the midterms.
40280	47040	I fear that what they're going to do is deploy these folks eventually to polling places
47040	49360	and say they're protecting the vote.
49360	56480	Do what he said he might do in 2020, which is use the military to confiscate the ballot boxes
56480	58740	and count the votes.
59540	60820	It's official.
61640	62680	New hoax alert.
63100	64240	New hoax alert.
64780	65820	New hoax alert.
