start	end	text
0	3360	Growth is surging, manufacturing is booming.
3360	6120	The stock market, as I said,
6120	8700	is doing better than it's ever done.
8700	11560	And all of you in this room benefit by that.
11560	13640	Almost everybody.
13640	16080	And importantly, workers' wages are rising
16080	20060	at the fastest pace in more than 60 years.
20060	22440	And that's what it's all about, isn't it?
22440	25940	In four years of President Biden,
25940	30020	we had less than $1 trillion of new investment
30020	31440	into the United States.
