start	end	text
0	2000	I WANT TO RESPOND TO WHAT YOU
2000	4000	WERE SAYING, DOUGLAS, WHICH IS
4000	5000	SO IMPORTANT.
5000	7000	I WANT TO RESPOND TO WHAT YOU
7000	8000	WERE SAYING, DOUGLAS, WHICH IS SO
8000	9000	IMPORTANT.
9000	11000	I THINK AS WE ALL TALK ABOUT THE
11000	13000	HORROR THAT WE FEEL OVER THE
13000	14000	SAFETY OF THESE OFFICERS, I WANT
14000	16000	TO ILLUSTRATE A COUPLE LEGAL
16000	18000	ANGLES, TOO, BECAUSE IT'S ALSO
18000	19000	ABOUT EQUAL PROTECTION.
19000	21000	AND THIS, TO ME, IS CREATING
21000	24000	SORT OF A GIANT LEGAL MESS THAT
24000	26000	RENDERS US EVEN MORE VULNERABLE.
26000	28000	AND UNLIKE J.B. PRITZKER, I USE
28000	30000	THESE OFFICERS.
30000	32000	I WANT TO TALK ABOUT THAT.
32000	34000	I WANT TO TALK ABOUT THAT.
34000	36000	HE CONTINUES USING THOSE
36000	38000	PEJORATIVES AND THEY, AND THEY.
38000	40000	THEY ARE AMERICANS TASKED WITH
40000	42000	ENFORCING THE LAWS THAT THE
42000	43000	LEGISLATURE HAS PASSED.
43000	45000	SO IT'S NOT JUST ABOUT OFFICER
45000	46000	SAFETY, IT'S ABOUT EQUAL
46000	47000	PROTECTION.
47000	49000	AND THANK GOD NOTHING HAPPENED
49000	51000	TO A FEDERAL OFFICER OR A LOCAL
51000	53000	OFFICER BECAUSE I KNOW FOR A FACT
53000	55000	THAT IF THEY HAD INDEED BEEN
55000	57000	ORDERED TO STAND DOWN, THAT ALL
57000	59000	WOULD BE ABLE TO TALK ABOUT
59000	60000	THAT.
60000	61000	THEY WOULD BE ABLE TO TALK ABOUT
61000	62000	THAT.
62000	64000	THEY WOULD BE ABLE TO TALK ABOUT
64000	66000	THE AID AND COME TO THE AID OF
66000	67000	THEIR FELLOW AMERICANS AND
67000	68000	THEIR FELLOW BRAVE AMERICANS IN
68000	69000	UNIFORM.
69000	70000	AND IF SOMETHING HAD HAPPENED,
70000	71000	THEY HAVE A MASSIVE CASE.
71000	72000	THIS IS DELIBERATE INDIFFERENCE.
72000	73000	THIS IS BREACH OF DUTY.
73000	75000	AND THEN WE'RE SORT OF, OH, NO,
75000	76000	NO, NO, WE DIDN'T ORDER THAT.
76000	77000	SO THEN THAT TO ME BECOMES A PR
77000	78000	NIGHTMARE.
78000	80000	IS THERE A COMPROMISED
80000	81000	INVESTIGATION?
81000	82000	HAS THIS BEEN POLITICIZED?
82000	84000	SO ANYTHING COMING ANYWHERE
84000	85000	REMOTELY OUT OF THAT
85000	87000	JURISDICTION, I THINK, IS
87000	88000	RIPE FOR A VULNERABILITY.
88000	89000	IT'S NOT JUST ABOUT THIS CASE.
89000	91000	IT'S NOT JUST ABOUT THIS, THIS
91000	92000	AGGRESSIVE AND VIOLENT
92000	93000	DEMONSTRATION.
93000	94000	NO, THIS IS ABOUT THE
94000	96000	CONSEQUENCES OF HAVING SUCH A
96000	97000	FRACTURED IDENTITY, NOT A
97000	98000	UNIFIED FRONT.
98000	101000	AND NOT REALIZING THE FORCE FOR
101000	102000	THE TREES.
102000	104000	THE DECISIONS AND CONSEQUENCES
104000	106000	GO BEYOND A SOUND BITE OR CLICK
106000	107000	ON YOUR INSTAGRAM.
107000	109000	IT ACTUALLY HAS REAL WORLD
109000	110000	LEGAL CONSEQUENCES.
110000	112000	AND BY GOD, IF THOSE
112000	113000	CONSEQUENCES ARE PHYSICAL, THEN
113000	114000	IT'S SOMETHING THAT AMERICA
114000	115000	CANNOT SUSTAIN.
115000	117000	LOOK, LAST QUICK THOUGHT FROM
117000	119000	YOU, DOUGLAS, ON TECHNICALLY
119000	121000	CREATING A NO ZONE INSIDE OF A
121000	122000	SOVEREIGN NATION AGAINST LAW
122000	123000	ENFORCEMENT.
123000	124000	YEAH, IT'S OUTRAGEOUS AND
124000	125000	IT'S BEEN GOING ON FOR YEARS
125000	126000	AGO.
126000	129000	YOU CANNOT HAVE EFFECTIVELY
129000	131000	MILITIA, WHICH IS WHAT THESE
131000	132000	GROUPS LIKE ANTIFA ARE.
132000	134000	THEY ARE MILITIA ON AMERICAN
134000	135000	STREETS.
135000	137000	AND EVERY TIME DEMOCRATIC
137000	138000	LAWMAKERS HAVE BEEN TOLD ABOUT
138000	139000	THIS, THEY SAY THE SAME THING.
139000	141000	THEY SAY THINGS LIKE EITHER IT'S
141000	142000	NOT HAPPENING OR WHAT WE SEE
142000	144000	WITH OUR OWN EYES ISN'T BEING
144000	145000	SEEN, ISN'T REAL.
145000	147000	OR THEY SAY THINGS LIKE, WELL,
147000	148000	ANTI-FASCIST SOUNDS GOOD.
148000	150000	WHO ISN'T ANTI-FASCIST?
150000	152000	YOU GO, THIS GROUP IS A
152000	153000	FASCIST GROUP.
153000	155000	IT'S A FASCIST GROUP.
155000	156000	IT'S A FASCIST GROUP.
156000	157000	IT'S A FASCIST GROUP.
157000	158000	IT'S A FASCIST GROUP.
158000	159000	IT'S A FASCIST GROUP.
159000	160000	IT'S A FASCIST GROUP.
160000	161000	THEY ATTACK AND HOSPITALIZE
161000	162000	JOURNALISTS.
162000	164000	THEY WILL GO OUT OF THEIR WAY
164000	165000	TO ATTACK FEDERAL OFFICERS,
165000	166000	POLICE, ICE AND OTHERS.
166000	168000	WE JUST SAW THE OTHER DAY WITH
168000	170000	THE SHOOTER IN CALIFORNIA WHO
170000	172000	FIRED HIS RIFLE AT ICE AGENTS.
172000	174000	HE KILLED TWO DETAINEEES.
174000	176000	IT'S GOING TO GET WORSE IF THIS
176000	177000	IS NOT FINALLY COUNTERED.
177000	178000	INDEED.
178000	179000	WE'LL MOVE FORWARD.
179000	181000	THE WOULD-BE ASSASSIN OF JUSTICE
181000	183000	BRETT KAVANAUGH HAS BEEN SENTENCED
183000	185000	TO JUST EIGHT YEARS AND ONE
185000	186000	MONTH BEHIND BARS.
186000	188000	AND THE JUSTICE DEPARTMENT SAYS
188000	189000	THAT IS NOT ENOUGH AND NOW IS
189000	190000	READY TO TAKE ACTION.
190000	191000	WE'LL GET INTO IT.
191000	192000	STAY CLOSE.
192000	193000	HEY, EVERYONE.
193000	194000	I'M EMILY CAMPAÑO.
194000	196000	CATCH ME AND MY CO-HOSTS, HARRIS
196000	198000	BAULKNER AND KAYLEIGH MCINENNI
198000	200000	ON OUTNUMBERED EVERY WEEKDAY AT
200000	201000	12 P.M. EASTERN.
201000	202000	OR SET YOUR DVR.
202000	203000	ALSO, DON'T FORGET TO
203000	204000	SUBSCRIBE TO THE FOX NEWS YOUTUBE
204000	205000	PAGE FOR DAILY HIGHLIGHTS.
