start	end	text
0	2460	You cannot defeat us, you cannot slow us,
2460	5860	you cannot stop us, you cannot deter us.
5860	8920	We will carry Charlie and Erica in our heart
8920	12600	every single day and fight that much harder
12600	15540	because of what you did to us.
15540	19340	You have no idea the dragon you have awakened.
19340	23400	You have no idea how determined we will be
23400	27160	to save this civilization, to save the West,
27160	32160	to save this Republic because our children are strong
33040	35360	and our grandchildren will be strong
35360	38520	and our children's children's children will be strong.
38520	40660	And what will you leave behind?
40660	43000	Nothing, nothing.
43000	45220	To our enemies, you have nothing to give,
45220	48000	you have nothing to offer, you have nothing to share,
48000	49440	but bitterness.
49440	52680	We have beauty, we have light, we have goodness,
52680	56660	we have determination, we have vision, we have strength.
56660	59800	We've built the world that we inhabit now,
59800	64040	generation by generation, and we will defend this world.
64040	66660	We will defend goodness, we will defend light,
66660	68360	we will defend virtue.
68360	72020	You cannot terrify us, you cannot frighten us,
72020	76920	you cannot threaten us because we are on the side of goodness,
76920	78680	we are on the side of God.
78680	83940	And to my friend, Charlie, to my brother, Charlie,
83940	86940	I know you are looking at us right now.
86940	89360	I know you're watching Erica right now.
89360	91360	I know you're watching your children right now.
