start	end	text
0	5860	Well, the administration will abide by the ruling insofar as it affects the covered parties,
6140	13800	but there are also many other options the president has to deploy federal resources and assets out of the U.S. military to Portland.
13800	20020	But I was making the point that under federal law, Section Title 10 of the U.S. Code,
20760	26160	the president has the authority anytime he believes federal resources are insufficient to federalize the National Guard
26160	29420	to carry out a mission necessary for public safety.
29420	36000	So it's important to understand that in Portland, ICE officers have been subjected to over 100 nights of terrorist assault,
36500	44760	doxing, murder threats, violent attack, and every other means imaginable to try to overturn the results of the last election through violence.
44940	50920	The most important point I want to make today is that the number one and two items in the GOP platform in 2024
50920	55780	were to turn back the border invasion and carry out the largest deportation program in American history.
55780	62840	Since inauguration day, there's been an orchestrated campaign of terrorism and violence against ICE officers.
62980	66100	Of course, we saw the recent sniper attack against ICE officers.
66440	68260	They're publishing their family's photos online.
68360	69980	They're threatening them with murder or threatening with death,
70080	73260	and they're physically attacking them in the street each and every day.
73260	79340	And yet, shamefully, the mayor and governor in Portland and Oregon have refused to render aid,
79700	84020	leaving ICE officers to street fight every single night against these terrorists.
84520	89560	You make the claim of terrorist assaults and violence attack over 100 nights,
89640	95040	and yet the judge overseeing this case says that that's untethered from reality.
95040	99700	And local officials on the ground say that Trump's assertion of what's happening is in Portland,
99840	103440	that it's war ravaged and burning to the ground, is far from true.
103820	110260	I looked at the police data, and police have made something like 70 total arrests since June,
110260	113100	and there are no reports of buildings being burned to the ground.
113680	119140	The White House cited a guillotine being rolled out as a public display of rebellion.
119140	124680	But there isn't actually a threat that these demonstrators are going to overthrow the government.
124860	128760	Are you concerned that that response weakens your legal argument?
