start	end	text
0	6060	ICE IS THERE BECAUSE OF THE DERELICTION OF DUTY BY BIDEN AND THE DEMOCRATS.
6060	12540	YOU HAVE BLACK WOMEN WITH MAGA HATS ON IN CHICAGO, ALL OVER THE PLACE.
12540	14380	THEY WANT THE GUARD TO COME IN.
14380	17500	THERE WAS ONE WOMAN, SHE WAS GREAT TODAY, SHE SAID, YOU KNOW WHAT?
17500	21520	I DON'T CARE IF IT'S THE NATIONAL GUARD, THE ARMY, THE MARINES, THE AIR FORCE.
21520	24840	I DON'T CARE WHO COMES IN AS LONG AS WE'RE SAFE.
24840	27620	AND THAT'S THE WAY MOST OF THE PUBLIC FEELS.
27620	30380	WHY DON'T DEMOCRATS WANT TO PROTECT BLACK WOMEN?
30380	33220	FIRST, THEY DIDN'T STAND UP FOR BLACK KIDS WITH CANCER.
33220	39620	NOW THIS, Jussie Smollett GOT THE BENEFIT OF THE DOUBT IN CHICAGO, BUT NOT ICE.
39620	41560	DEMOCRATS KEEP SAYING THIS IS A CIVIL WAR.
41560	47060	WELL, TRUMP'S THE ONE TRYING TO LIBERATE BLACK AMERICANS WHILE THEY'RE DEMANDING TO KNOW WHO'S
47060	48180	GOING TO PICK THEIR CROPS.
