start	end	text
0	1700	I call it pure evil.
1740	4500	So they've taken away his freedom of speech,
4540	7600	and now they've taken away his freedom of movement.
7640	11940	I mean, they had more allowances for Khalid Sheikh Mohammed.
11980	14440	Oh, okay.
14480	15980	That sounds wild.
16020	18320	But I think Jesse Watters is a reasonable man,
18360	21020	because I was kicked in the head by a horse last week.
21060	23220	So...
23260	24320	Let's hear him out.
24360	26600	How is Trump being treated worse
26620	28960	than the mastermind of 9-11?
28960	31460	The guy needs exercise. He's usually golfing.
31500	33740	And so you're gonna put a man who's almost 80
33760	36760	sitting in a room like this on his butt for all that time?
36800	39400	It's not healthy. He needs sunlight, and he needs activity.
39440	41800	He needs to be walking around. He needs action.
41840	44240	It's really cruel and unusual punishment
44280	45980	to make a man do that.
46020	47920	Are we talking about Donald Trump
47940	49780	or an old English sheepdog?
49820	50880	Yeah.
50920	52180	You can't keep him cooped up all day.
52220	54460	He needs time outside, or he'll pee on the couch.
